"","Brand","Model","Accel","TopSpeed","Range","Efficiency","FastCharge","RapidCharge","PowerTrain","PlugType","BodyStyle","Segment","Seats","PriceEuro"
"89","Skoda","Enyaq iV vRS",6.2,180,400,193,540,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","C",5,47500
"90","Skoda","Enyaq iV 60",9,160,320,181,440,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","SUV","C",5,37500
"91","Audi","e-tron S 55 quattro",4.5,210,320,270,510,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","E",5,93800
"92","Smart","EQ fortwo cabrio",11.9,130,95,176,0,"Rapid charging not possible","Rear Wheel Drive","Type 2","Cabrio","A",2,24565
"93","Kia","e-Soul 64 kWh",7.9,167,365,175,320,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","SUV","B",5,36837
"94","Nissan","Ariya e-4ORCE 87kWh",5.7,200,420,207,500,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Hatchback","C",5,57500
"95","Fiat","500e Convertible",9,150,250,168,330,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Cabrio","B",4,37900
"96","Volkswagen","ID.3 Pro Performance",7.3,160,340,171,470,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","Hatchback","C",5,35575
"97","Kia","e-Soul 39 kWh",9.9,157,230,170,220,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","SUV","B",5,33133
"98","Byton","M-Byte 72 kWh 2WD",7.5,190,325,222,420,"Rapid charging possible","Rear Wheel Drive","Type 2 CCS","SUV","E",5,53500
"99","Nissan","Ariya 63kWh",7.5,160,330,191,440,"Rapid charging possible","Front Wheel Drive","Type 2 CCS","Hatchback","C",5,45000
"100","Audi","e-tron S Sportback 55 quattro",4.5,210,335,258,540,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","E",5,96050
"101","Nissan","Ariya e-4ORCE 63kWh",5.9,200,325,194,440,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Hatchback","C",5,50000
"102","Nissan","Ariya e-4ORCE 87kWh Performance",5.1,200,375,232,450,"Rapid charging possible","All Wheel Drive","Type 2 CCS","Hatchback","C",5,65000
"103","Byton","M-Byte 95 kWh 2WD",7.5,190,400,238,480,"Rapid charging possible","All Wheel Drive","Type 2 CCS","SUV","E",5,62000
